Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total_On_Board,Total_Fatal_Serious,Injury_Fraction,Destroyed,make_model
20050408X00432,Accident,ANC05CA050,2005-03-19,"FALSE PASS, AK",United States,54.838333,-163.866667,,,Non-Fatal,Substantial,N3996Z,Piper,PA-18,No,1,Piston,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,08-06-2005,2.0,0.0,0.0,False,Piper PA-18
20050801X01134,Incident,DFW05WA197,2005-03-19,"Aguas de Dios, Colombia",Colombia,,,,,Incident,,,Bell,412,No,1,,Unknown,0.0,0.0,0.0,7.0,VMC,,Foreign,01-08-2005,7.0,0.0,0.0,False,Bell 412
20050328X00364,Accident,DFW05LA092,2005-03-20,"TONTITOWN, AR",United States,36.135555,-94.266667,,Private Airstrip,Non-Fatal,Substantial,N6828F,Cessna,150F,No,1,Piston,Personal,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,13-09-2005,2.0,2.0,1.0,False,Cessna 150F
20050324X00361,Accident,DEN05LA063,2005-03-20,"NORWOOD, CO",United States,38.151111,-108.271667,,,Non-Fatal,Substantial,XB-FRU,Mooney,M20F,No,1,Piston,Personal,0.0,0.0,0.0,1.0,IMC,Descent,Probable Cause,27-10-2005,1.0,0.0,0.0,False,Mooney M20F
20050322X00346,Accident,ATL05LA065,2005-03-20,"Raleigh, NC",United States,35.866667,-78.790277,RDU,Raleigh-Durham Int'l Airport,Non-Fatal,,N733KR,Embraer,EMB-135LR,No,2,Turbo Fan,,0.0,1.0,0.0,31.0,VMC,Takeoff,Probable Cause,30-05-2006,32.0,1.0,0.03125,False,Embraer EMB-135LR
20050329X00376,Accident,LAX05LA120,2005-03-22,"CAREFREE, AZ",United States,33.8175,-111.892222,18AZ,"Sky Ranch at Carefree, Arizona",Non-Fatal,Substantial,N6897N,Cessna,T210N,No,1,Piston,Personal,0.0,2.0,3.0,0.0,VMC,Approach,Probable Cause,28-02-2006,5.0,2.0,0.4,False,Cessna T210N
20050503X00541,Accident,LAX05LA119,2005-03-22,"WADDELL, AZ",United States,33.566667,-112.5,,,Non-Fatal,Substantial,N716GH,Robinson,R-22 Beta,No,1,Piston,Personal,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,29-08-2006,2.0,0.0,0.0,False,Robinson R-22 Beta
20050503X00542,Accident,LAX05LA118,2005-03-22,"THERMAL, CA",United States,33.626667,-118.159722,TRM,THERMAL,Non-Fatal,Substantial,N562AB,Cessna,172S,No,1,Piston,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,31-01-2006,1.0,0.0,0.0,False,Cessna 172S
20050503X00545,Accident,LAX05CA121,2005-03-22,"CHANDLER, AZ",United States,33.266667,-111.8,CHD,Chandler Municipal Airport,Non-Fatal,Substantial,N4101E,Piper,PA-18-150,No,1,Piston,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,07-07-2005,1.0,0.0,0.0,False,Piper PA-18-150
20050329X00375,Accident,LAX05LA122,2005-03-24,"PRESCOTT, AZ",United States,34.676667,-112.41,PRC,Ernest A. Love Field,Non-Fatal,Substantial,N225G,Robinson,R22 Beta,No,1,Piston,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,30-05-2006,2.0,0.0,0.0,False,Robinson R22 Beta
20050329X00379,Accident,CHI05LA079,2005-03-24,"BRONSON, MI",United States,41.8975,-85.183333,,,Non-Fatal,Substantial,N2380F,Cessna,210E,No,1,Piston,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,28-02-2006,1.0,0.0,0.0,False,Cessna 210E
